date,high,open,low,close,quantity,amount,ma7,ma20,ma60,ma120,ma453
2019-03-12,3905.2,3871.61,3826.06,3882.73,26921.008622,104393849.448448,3887.7957142857144,3863.3910000000005,3674.14,3855.365083333333,
2019-03-13,3893.56,3882.69,3840.0,3866.0,24461.008757,94680049.4603375,3888.39,3859.8255000000004,3678.8545,3833.7679166666667,
2019-03-14,3920.0,3866.0,3810.43,3877.12,27048.74853,104673038.776023,3888.8871428571433,3855.5815000000002,3685.5263333333337,3816.723833333333,
2019-03-15,3939.22,3877.12,3872.2,3923.76,21740.061498,84919900.7174447,3897.2971428571427,3845.8815000000004,3690.4875,3801.4768333333336,
2019-03-16,4056.98,3924.46,3921.98,4005.98,28568.376124,114227606.406817,3906.2885714285717,3859.0025,3698.0361666666668,3787.7271666666666,
2019-03-17,4012.0,4005.98,3950.01,3981.14,18814.255577,74893913.0577603,3915.477142857143,3866.6635,3704.5245,3774.000916666667,
2019-03-18,4037.0,3981.85,3953.33,3987.81,22454.47801,89526258.3891064,3932.077142857143,3875.5925,3710.7178333333336,3760.049333333334,
2019-03-19,4031.0,3987.83,3970.0,4015.53,19893.741815,79503748.3626346,3951.0485714285714,3885.4655,3717.7288333333336,3752.5951666666665,
2019-03-20,4050.0,4017.48,3980.5,4043.04,23432.300255,94019734.2332643,3976.34,3896.933,3724.0245,3748.296666666667,
2019-03-21,4069.32,4043.04,3880.01,3980.64,35997.682119,144010401.508451,3991.128571428571,3904.815,3731.3805,3742.6264166666665,
2019-03-22,4008.0,3980.85,3968.25,3986.93,20022.606318,79861943.8108997,4000.152857142857,3913.165,3739.0476666666664,3739.434166666667,
2019-03-23,4018.83,3987.89,3978.01,4006.01,17302.604318,69169819.8628637,4000.1571428571433,3923.078,3746.299,3735.9791666666665,
2019-03-24,4006.02,4006.01,3950.0,3992.18,17179.850648,68524082.7469562,4001.7342857142858,3936.922,3753.6216666666664,3736.477,
2019-03-25,3999.3,3991.35,3888.71,3936.12,33192.890217,131507366.375129,3994.35,3940.8415,3759.73,3735.2298333333333,
2019-03-26,3958.98,3935.47,3894.0,3948.55,29349.537627,115330070.990715,3984.781428571429,3945.1769999999997,3766.1176666666665,3735.949416666667,
2019-03-27,4048.0,3948.77,3936.15,4038.05,32364.555852,129681258.016214,3984.0685714285714,3953.3975,3773.997666666667,3737.306416666667,
2019-03-28,4039.7,4039.58,4002.0,4027.81,20089.293875,80822230.5798466,3990.807142857143,3961.5434999999998,3781.9471666666664,3735.331083333333,
2019-03-29,4123.71,4028.22,4024.03,4103.25,30084.217444,122585822.586505,4007.424285714286,3969.554,3793.098833333333,3733.726166666667,
2019-03-30,4140.0,4104.24,4052.0,4106.97,19509.292601,79853835.581824,4021.847142857143,3979.0615,3804.697666666667,3734.2732499999997,
2019-03-31,4116.12,4106.99,4082.57,4103.95,13525.087433,55472147.1270168,4037.8142857142852,3990.6784999999995,3815.4605,3733.5559999999996,
2019-04-01,4158.7,4102.44,4067.0,4144.56,25507.067641,105388238.147889,4067.5914285714284,4003.7699999999995,3827.3015000000005,3733.4189166666665,
2019-04-02,4897.99,4144.54,4140.54,4857.29,105383.639263,489018726.757507,4197.411428571429,4053.3345,3850.5551666666665,3741.529583333334,
2019-04-03,5275.01,4857.19,4753.5,4932.6,109890.125743,548900970.917884,4325.204285714286,4106.1085,3874.3523333333333,3749.7042500000002,
2019-04-04,5039.08,4932.59,4777.0,4898.66,61054.254168,301411332.009024,4449.611428571428,4154.853499999999,3898.3615,3759.1110833333337,
2019-04-05,5028.22,4898.64,4880.62,5004.95,39768.552806,197660830.710967,4578.425714285714,4204.802,3924.0570000000002,3771.5794166666665,
2019-04-06,5205.0,5004.96,4928.59,5043.89,41770.842313,210963411.613132,4712.271428571429,4257.9394999999995,3950.262,3785.2489166666664,
2019-04-07,5234.0,5042.07,5026.0,5170.27,37615.486804,192916750.571904,4864.602857142857,4317.0625,3979.6770000000006,3799.9100833333337,
2019-04-08,5305.0,5170.27,5039.0,5236.9,50178.430782,260487077.767567,5020.651428571428,4378.130999999999,4010.3186666666666,3814.0061666666666,
2019-04-09,5238.4,5238.38,5076.68,5150.0,34067.012311,175633627.316374,5062.467142857144,4433.478999999999,4035.168,3828.3154999999997,
2019-04-10,5422.0,5150.0,5135.0,5308.25,40073.620471,210870034.512055,5116.131428571428,4499.8595000000005,4062.5525000000002,3844.381,
2019-04-11,5332.67,5307.86,4927.0,5017.37,54696.600686,277736905.857498,5133.089999999999,4551.3815,4084.841,3857.4840833333333,
2019-04-12,5080.58,5017.37,4861.22,5048.01,33276.678614,166485761.079312,5139.2414285714285,4603.4815,4108.457,3872.0336666666667,
2019-04-13,5099.0,5047.0,5004.0,5045.22,17292.456802,87375984.4446151,5139.431428571429,4656.1335,4132.019666666667,3887.2090833333336,
2019-04-14,5152.99,5047.45,5000.0,5131.3,18281.607739,92594930.4271013,5133.864285714285,4715.8925,4157.384666666667,3903.2055833333334,
2019-04-15,5167.38,5131.28,4950.0,5024.95,29057.191581,147687551.941477,5103.585714285714,4769.7125,4181.291166666667,3918.1745833333334,
2019-04-16,5197.72,5024.95,5003.94,5173.72,24242.229493,123581651.712164,5106.9742857142855,4826.496,4207.478666666667,3932.0465833333333,
